% Model,TIS_model_1207.mph
% Version,COMSOL 5.5.0.292
% Date,"Dec 9 2020, 22:32"
% Dimension,1
% Nodes,33
% Expressions,1
% Description,Line graph
% cln1x,Height
0,305.27275347614267
3.321019455898482E-4,305.26893924181434
6.642038911796972E-4,305.26493794974476
9.963058367695454E-4,305.26074959993423
0.001328407782359394,305.2563741923824
0.0016605097279492427,305.2518117270895
0.0019926116735390904,305.24706220405534
0.0023247136191289395,305.24212562328006
0.002656815564718788,305.2370019847636
0.002949713619128939,305.2323419915702
0.003242611673539091,305.2275466963019
0.0035355097279492426,305.22261609895855
0.0038284077823593945,305.21755019954014
0.004121305836769546,305.21234899804676
0.004414203891179697,305.2070124944783
0.004707101945589849,305.20154068883494
0.005,305.19593358111644
0.005283820773812155,305.1903741114164
0.005567641547624307,305.1847007540054
0.005851462321436462,305.1789135088835
0.006135283095248614,305.1730123760507
0.006419103869060768,305.1669973555069
0.0067029246428729206,305.1608684472522
0.006986745416685074,305.1546256512867
0.007270566190497227,305.14826896760997
0.007611745416685075,305.14048241287327
0.007952924642872922,305.13255024515865
0.008294103869060768,305.1244724644662
0.008635283095248615,305.116249070796
0.008976462321436464,305.1078800641482
0.009317641547624307,305.09936544452256
0.009658820773812155,305.0907052119191
0.01,305.081899366338
