% Model,TIS_model_1202.mph
% Version,COMSOL 5.5.0.292
% Date,"Dec 3 2020, 15:23"
% Dimension,1
% Nodes,37
% Expressions,1
% Description,Line graph
% cln1x,Height
0,301.6437351139099
5.3608483263531534E-5,301.6452822419585
1.0721696652706318E-4,301.6468291475703
1.608254497905947E-4,301.64837583074547
2.1443393305412613E-4,301.6499222914836
2.680424163176578E-4,301.651468529785
3.216508995811894E-4,301.6530145456496
3.7525938284472084E-4,301.65456033907765
4.288678661082525E-4,301.6561059100687
4.82476349371784E-4,301.65765125862293
5.399789772193636E-4,301.65930872276215
5.974816050669431E-4,301.66096595023583
6.549842329145227E-4,301.6626229410443
7.124868607621024E-4,301.6642796951876
7.699894886096819E-4,301.66593621266514
8.274921164572615E-4,301.6675924934778
8.849947443048409E-4,301.6692485376252
9.424973721524206E-4,301.6709043451071
0.001,301.67255991592384
0.0010575026278475796,301.6742152531422
0.0011150052556951591,301.6758703179178
0.001172507883542739,301.67752511025066
0.0012300105113903185,301.67917963014077
0.0012875131392378978,301.6808338775881
0.0013450157670854774,301.6824878525927
0.0014025183949330571,301.68414155515455
0.0014600210227806367,301.68579498527356
0.0015175236506282162,301.68744814294985
0.0015711321338917478,301.68898941979785
0.0016247406171552793,301.69053037012606
0.0016783491004188108,301.6920709939344
0.0017319575836823424,301.6936112912229
0.001785566066945874,301.69515126199155
0.0018391745502094054,301.69669090624024
0.0018927830334729372,301.69823022396923
0.0019463915167364687,301.6997692151783
0.002,301.70130787986716
