% Model,TIS_model_1207.mph
% Version,COMSOL 5.5.0.292
% Date,"Dec 9 2020, 22:32"
% Dimension,1
% Nodes,33
% Expressions,1
% Description,Line graph
% cln1x,Height
0,305.3296854285025
3.321019455898482E-4,305.33249365888565
6.642038911796972E-4,305.335111926132
9.963058367695454E-4,305.3375402302413
0.001328407782359394,305.33977857121374
0.0016605097279492427,305.34182694904916
0.0019926116735390904,305.3436853637476
0.0023247136191289395,305.34535381530924
0.002656815564718788,305.3468323037338
0.002949713619128939,305.34796324138534
0.003242611673539091,305.34894440106547
0.0035355097279492426,305.34977578277426
0.0038284077823593945,305.35045738651183
0.004121305836769546,305.350989212278
0.004414203891179697,305.351371260073
0.004707101945589849,305.35160352989647
0.005,305.3516860217488
0.005283820773812155,305.35160830941993
0.005567641547624307,305.3513893232971
0.005851462321436462,305.3510290633809
0.006135283095248614,305.35052752967084
0.006419103869060768,305.3498847221671
0.0067029246428729206,305.34910064086955
0.006986745416685074,305.34817528577844
0.007270566190497227,305.3471086568934
0.007611745416685075,305.3456372679911
0.007952924642872922,305.34396387112014
0.008294103869060768,305.3420884662807
0.008635283095248615,305.34001105347284
0.008976462321436464,305.3377316326964
0.009317641547624307,305.33525020395155
0.009658820773812155,305.3325667672383
0.01,305.3296813225562
